

■ ネットワーク層		ネットワークのためにパケットを送受信します。
IP			インターネット上でコンピューター同士が通信を行うために定められた通信規約
IPヘッダ			ネットワーク上を流れるデータの中身の一部で、IPってお約束事で使う情報が書かれている部分のこと
ICMP			通信するときに使うお約束事（通信プロトコル）のひとつであり「ping」コマンドで使われているお約束事
ICMPメッセージ		問い合わせやエラーに関するメッセージをやり取りすること
IPアドレス		ネットワーク上の機器を識別するための番号
オクテット		8ビットごとの単位をオクテットと呼ぶ
ネットワーク部		どのネットワークに属しているのかを示す
ホスト部			ネットワーク内のどのコンピュータなのかを示す
クラス			IPアドレスの値によって、IPアドレスを幾つかのカテゴリに分類したもの
プライベートIPアドレス	LANなどの企業内ネットワークに存在する端末が、自由に使用できるIPアドレスのこと
グローバルIPアドレス	インターネットで相手と通信するために持つ、ほかのアドレスと重複しない一意のIPアドレスのこと
ネットワークアドレス	あるネットワークに割り当てられたIPアドレス群の中で、そのネットワーク自身を指す示すアドレス
ブロードキャストアドレス	ネットワーク内のすべての機器（ノード）にデータを一斉配信するために使われる特殊なアドレス
ループバックアドレス	IPアドレスの中で自らを指すもの
サブネット		クラスA、B、Cのネットワークを複数の小さなネットワークに分割したネットワークのこと
サブネットマスク		「ネットワークアドレス」と「ホストアドレス」を識別するための数値
プレフィックス表記		IPアドレスとサブネットマスクを一緒に表記する方法
デフォルトゲートウェイ	家庭や社内でのLANからインターネットなどの外部ネットワークに接続する際に、通信の出入口の役割を果たす仕組みのこと
IPv6			インターネットプロトコルの規格　約340澗（かん）個IPアドレスが用意できる
サブネットプレフィックス	長さは64ビット
インターフェイスID		リンク上でホストを識別するために使用される
 

ルータ			ネットワーク間の接続をおこなう機器の1つ　データを中継する役割
コンソール接続		コンピュータと直に繋いで管理者が操作を行う
VTY接続			ルータなどの通信機器にネットワークを通じて別のコンピュータから接続し、操作や管理を行うための仮想的な接続口　リモートアクセス
AUX接続			補助のポートという意味　モデム経由でルータに接続したい場合に使用
ルーティングテーブル	ルータに記録される経路情報で、ルーティング処理を行う際に参照する
ネクストホップ		ルータなどが持つ経路表（ルーティングテーブル）に記載される情報の一つで、個々の宛先ネットワーク毎に決められた、次に転送すべき隣接ルータ（のIPアドレス）のこと
ARPテーブル		ARPによって割り出したIPアドレスとMACアドレス（EthernetやWi-Fiなどの物理アドレス）の対応表
ARP			IPアドレスからネットワーク上のMACアドレスを求めるためのプロトコル
コアルータ		主に通信事業者などの基幹ネットワークの中心部で用いられるもの
センタールータ		信事業者の回線サービスを使って，本社のネットワークと支店のネットワークを結んだり，プロバイダと企業ネットを結んでインターネットにつなぐ
エッジルータ		支社や営業所内のネットワークをWAN回線につなぎ，本社に置かれたセンター・ルーターへアクセスするために使われる
ブロードバンドルータ	インターネットをするときに使うルータ
 

ルーティング		ネットワーク上でデータを転送する際、その経路を導き出すこと
直接接続			ルータと隣接しているネットワークを自動で登録する方法
スタティックルーティング	手動で更新する地図を使った、ネットワーク上の道案内
ダイナミックルーティング	ネットワーク経路が自動更新されるもの
ディスタンスベクタ型	隣接するルータ間でルーティングテーブル（経路表）を交換し合い、どの隣接ルータを経由すれば最短のホップ数で宛先に届くかを基準に経路を指定する方式
リンクステート型		どのルータとどのルータが隣接しているかという接続情報（リンクステート）を交換し合い、この情報の集合に基づいて経路を選択する方式
ハイブリッド型		ディスタンスベクタ型ルーティングプロトコルの単純なメトリックに基づくルート選択の方式
 

■ トランスポート層		OSI参照モデルにおいて、各ノード上で実行されている2つのプロセス間で、エラーのない、仮想的な通信路を実現するためのプロトコル層
コネクション型通信		相手との接続（コネクション）を事前に確立し、通信相手ごとに通信の状態を管理する方式
ACK			二者間の通信で、相手方に何らかの肯定的な応答を返す際に送られる信号やデータ、パケットなど
コネクションレス型通信	相手との接続（コネクション）確立を行わずデータを送信する方式
TCP			1対1のセッションによる信頼性の高い通信を行うためのプロトコル
スリーウェイハンドシェイク	データ転送を行う前にコネクションの確立を行います.パケット送受信を３回行う事が由来
Telnet			ネットワークに接続された機器を遠隔操作するために使用するアプリケーション層プロトコル
HTTP			WebサーバとクライアントのWebブラウザがデータを送受信 するために使用するアプリケーション層のプロトコル
FTP			特定のコンピュータ間でファイル転送する時に使用するアプリケーション 層のプロトコル
SMTP			電子メールを送信するためのプロトコル
TCPヘッダ			TCPパケットの先頭部分にある、制御情報などを一定の形式で記述した領域
UDP			TCPと同様にIPの上位プロトコルのトランスポート層で動作するプロトコル
RTP			インターネット上で音声や動画をリアルタイムに転送するため、RTSPやH. 323の通信プロトコルのデータ部分に使用されます。
SNMP			TCP/IP ネットワーク上につながる機器の情報を管理したり、状態を監視したりするために使用されるプロトコル
DHCP			ネットワーク接続するのに必要なIPアドレスなどの 情報を自動的に割り当てるアプリケーション層プロトコル
TFTP			IPネットワーク上でファイル転送を行うためにプロトコルの一つ
RIP			ルータなどの通信機器の間で経路情報を交換し、ある地点から別の地点までの最短経路を割り出すのに使われる
UDPヘッダ			ネットワーク層のIPとセッション層以上のプロトコル（ 例：DNS、NTP、DHCP ）の橋渡しをするかたちで動作
